id,susp_entrop_ratio,susp_name_ratio,susp_code_size,imphash,n_exports,n_antidbg,n_antivm,n_susp_api,has_cfg,has_dep,has_aslr,has_seh,has_gs,has_tls,has_code_integrity,susp_dbg_ts,n_url,n_ip,has_manifest,has_version,n_susp_strings,is_packed,has_certificate,susp_virustotal_ratio,n_yara_rules
000e44d6ebfb572015549c20047e66c8,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
0011abb9e5777a5175a2a5696855dff0,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,2,1,0,-1,0
00136827a47e4b03b69fb7bea2c36971,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
001e98ad444991d549d32ccda6d0f163,0.25%,0.0%,0,,0,0,0,0,0,0,1,1,1,1,1,-1,0,0,-1,-1,4,1,0,-1,1
002292bba7f2f9bcfdafb33869852e25,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
0034075d0e456f7bb340de883ee21b42,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,0,1,0,-1,0
003b62a37c13e5b27c8e8a9ebbf6be25,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,0,1,0,-1,0
006405e6015e49b87352a4bf2a11376a,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,2,1,0,-1,0
0086748f3a7854b3a35f69b5285c534f,0.0%,0.5%,0,,0,0,1,0,0,1,1,1,1,1,1,0,10,2,-1,-1,20,1,0,-1,3
00907bdb1f0117436363a444c230e4b5,0.0%,0.42857142857142855%,0,,0,0,0,0,0,1,1,1,1,1,1,0,0,2,-1,-1,1,1,0,-1,0
00e69728719213a306c42e2abc8960ab,0.25%,0.0%,0,,0,0,0,0,0,0,1,1,1,1,1,-1,0,0,-1,-1,3,1,0,-1,1
00e8243a017cc86024ccca4640ecd6e3,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,1,0,0,-1,-1,1,1,0,-1,0
011cfd626c69be0acf28ae9d033bd36e,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,3,1,0,-1,0
01225baafbd19ddc2f510f72c443f708,0.5%,0.0%,0,,0,0,1,0,0,1,1,1,1,1,1,0,0,0,-1,-1,1,1,0,-1,0
